Country Name,Country Code,Year,Value
Aruba,ABW,2000,3043574.3010199997
Andorra,AND,2000,0.0
Afghanistan,AFG,2000,0.0
Angola,AGO,2000,44166581.43555
Albania,ALB,2000,22761163.353240002
Andean Region,ANR,,
Arab World,ARB,2000,3396564535.652786
United Arab Emirates,ARE,2000,68437412.793789
Argentina,ARG,2000,186275344.882464
Armenia,ARM,2000,0.0
American Samoa,ASM,2000,543691.841935
Antigua and Barbuda,ATG,2000,2907171.49065
Australia,AUS,2000,166871424.5289
Austria,AUT,2000,0.0
Azerbaijan,AZE,2000,280464708.15984
Burundi,BDI,2000,0.0
Belgium,BEL,2000,160330497.15872002
Benin,BEN,2000,145233522.80471998
Burkina Faso,BFA,2000,0.0
Bangladesh,BGD,2000,2185882453.41446
Bulgaria,BGR,2000,11096860.157955
Bahrain,BHR,2000,88769680.84485
"Bahamas, The",BHS,2000,17561208.52846
Bosnia and Herzegovina,BIH,2000,303297.73359238
Belarus,BLR,2000,0.0
Belize,BLZ,2000,5238706.2809999995
Bermuda,BMU,2000,5349114.17856
Bolivia,BOL,2000,0.0
Brazil,BRA,2000,977524557.51845
Barbados,BRB,2000,4467126.08212
Brunei Darussalam,BRN,2000,3860410.2235040003
Bhutan,BTN,2000,0.0
Botswana,BWA,2000,0.0
Sub-Saharan Africa (IFC classification),CAA,,
Central African Republic,CAF,2000,0.0
Canada,CAN,2000,140312220.68448
East Asia and the Pacific (IFC classification),CEA,,
Central Europe and the Baltics,CEB,2000,260576633.83494696
Europe and Central Asia (IFC classification),CEU,,
Switzerland,CHE,2000,0.0
Channel Islands,CHI,,
Chile,CHL,2000,28361985.855192002
China,CHN,2000,10939381964.82
Cote d'Ivoire,CIV,2000,65927974.471632004
Latin America and the Caribbean (IFC classification),CLA,,
Middle East and North Africa (IFC classification),CME,,
Cameroon,CMR,2000,7762062.953217301
"Congo, Rep.",COG,2000,4297138.8103056
Colombia,COL,2000,96863928.74928
Comoros,COM,2000,10316037.27817
Cabo Verde,CPV,2000,6906879.7371000005
Costa Rica,CRI,2000,4091310.7762124003
South Asia (IFC classification),CSA,,
Caribbean small states,CSS,2000,121542927.9651204
Cuba,CUB,2000,113084834.52716
Curacao,CUW,,
Cayman Islands,CYM,2000,3482259.10435
Cyprus,CYP,2000,11026142.172552
Czech Republic,CZE,2000,0.0
Germany,DEU,2000,356138605.689412
Djibouti,DJI,2000,6658067.105272001
Dominica,DMA,2000,751289.3824199999
Denmark,DNK,2000,103901221.36393999
Dominican Republic,DOM,2000,31038486.933551002
Algeria,DZA,2000,138404219.072508
East Asia & Pacific (developing only),EAP,2000,20718405164.40571
East Asia & Pacific (all income levels),EAS,2000,23942494449.5803
Europe & Central Asia (developing only),ECA,2000,746674806.9488802
Europe & Central Asia (all income levels),ECS,2000,4891321694.734736
Ecuador,ECU,2000,114917654.66056201
"Egypt, Arab Rep.",EGY,2000,2101226697.64758
Euro area,EMU,2000,2865726361.057099
Eritrea,ERI,2000,7796583.16953
Spain,ESP,2000,308274286.362863
Estonia,EST,2000,9535836.751192
Ethiopia,ETH,2000,37150724.3967588
European Union,EUU,2000,3728350850.8289123
Fragile and conflict affected situations,FCS,2000,1677370619.5009813
Finland,FIN,2000,23749778.177308
Fiji,FJI,2000,9687336.10695
France,FRA,2000,266614630.15915802
Faeroe Islands,FRO,2000,546051.1892499999
"Micronesia, Fed. Sts.",FSM,2000,5679674.04039
Gabon,GAB,2000,9902941.803396
United Kingdom,GBR,2000,554007642.70293
Georgia,GEO,2000,14647440.8358
Ghana,GHA,2000,59609251.789986
Guinea,GIN,2000,42629433.614847
"Gambia, The",GMB,2000,61787293.313250005
Guinea-Bissau,GNB,2000,32036091.256049998
Equatorial Guinea,GNQ,2000,1985799.1248
Greece,GRC,2000,109230340.36202401
Grenada,GRD,2000,2302918.7616600003
Greenland,GRL,2000,2947602.63378
Guatemala,GTM,2000,4787790.8931141
Guam,GUM,2000,4387359.5411600005
Guyana,GUY,2000,25028790.46269
High income,HIC,2000,9330175298.091658
"Hong Kong SAR, China",HKG,2000,188130009.375
Honduras,HND,2000,17533211.229856
Heavily indebted poor countries (HIPC),HPC,2000,1294920686.285661
Croatia,HRV,2000,14400241.830699999
Haiti,HTI,2000,55674484.635462
Hungary,HUN,2000,0.0
Indonesia,IDN,2000,2789749770.115
Isle of Man,IMN,2000,2385336.50432
India,IND,2000,4710540395.174828
Not classified,INX,,
Ireland,IRL,2000,30440138.519977
"Iran, Islamic Rep.",IRN,2000,385561896.910848
Iraq,IRQ,2000,216817062.22978398
Iceland,ISL,2000,4227808.70822
Israel,ISR,2000,66550519.6782
Italy,ITA,2000,451163177.51110196
